pokedex_number,name,type_1,type_2,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,height_m,weight_kg,base_experience,abilities,hidden_ability,generation,is_legendary,is_mythical,is_baby,color,shape,egg_groups,habitat,growth_rate,capture_rate,base_happiness,genus,evolution_chain_id,flavor_text,sprite_url
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,0.7,6.9,64,overgrow|chlorophyll,chlorophyll,gen-i,False,False,False,green,quadruped,monster|plant,grassland,medium-slow,45,70,Seed Pokémon,1,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,1.0,13.0,142,overgrow|chlorophyll,chlorophyll,gen-i,False,False,False,green,quadruped,monster|plant,grassland,medium-slow,45,70,Seed Pokémon,1,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,2.0,100.0,236,overgrow|chlorophyll,chlorophyll,gen-i,False,False,False,green,quadruped,monster|plant,grassland,medium-slow,45,70,Seed Pokémon,1,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
4,Charmander,Fire,,39,52,43,60,50,65,309,0.6,8.5,62,blaze|solar-power,solar-power,gen-i,False,False,False,red,upright,monster|dragon,mountain,medium-slow,45,70,Lizard Pokémon,2,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
5,Charmeleon,Fire,,58,64,58,80,65,80,405,1.1,19.0,142,blaze|solar-power,solar-power,gen-i,False,False,False,red,upright,monster|dragon,mountain,medium-slow,45,70,Flame Pokémon,2,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
6,Charizard,Fire,Flying,78,84,78,109,85,100,534,1.7,90.5,240,blaze|solar-power,solar-power,gen-i,False,False,False,red,upright,monster|dragon,mountain,medium-slow,45,70,Flame Pokémon,2,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
7,Squirtle,Water,,44,48,65,50,64,43,314,0.5,9.0,63,torrent|rain-dish,rain-dish,gen-i,False,False,False,blue,upright,monster|water1,waters-edge,medium-slow,45,70,Tiny Turtle Pokémon,3,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
8,Wartortle,Water,,59,63,80,65,80,58,405,1.0,22.5,142,torrent|rain-dish,rain-dish,gen-i,False,False,False,blue,upright,monster|water1,waters-edge,medium-slow,45,70,Turtle Pokémon,3,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
9,Blastoise,Water,,79,83,100,85,105,78,530,1.6,85.5,239,torrent|rain-dish,rain-dish,gen-i,False,False,False,blue,upright,monster|water1,waters-edge,medium-slow,45,70,Shellfish Pokémon,3,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
10,Caterpie,Bug,,45,30,35,20,20,45,195,0.3,2.9,39,shield-dust|run-away,run-away,gen-i,False,False,False,green,armor,bug,forest,medium,255,70,Worm Pokémon,4,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,Metapod,Bug,,50,20,55,25,25,30,205,0.7,9.9,72,shed-skin,,gen-i,False,False,False,green,squiggle,bug,forest,medium,120,70,Cocoon Pokémon,4,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
